sample	ERBB2_CNA	RSF1_CNA	ZNF703_CNA	MYC_CNA	RPS6KB1_CNA
TCGA-E9-A6HE	0	0	0	0	0
TCGA-EW-A1IW	1	0	0	0	0
TCGA-EW-A1J3	0	0	0	0	0
TCGA-EW-A1J5	0	0	0	0	0
TCGA-EW-A1J6	0	0	0	0	0
TCGA-EW-A1OV	0	0	0	0	0
TCGA-EW-A1OY	0	0	0	1	1
TCGA-EW-A1P0	0	0	1	1	0
TCGA-EW-A1P1	0	0	0	0	0
TCGA-EW-A1P3	0	0	0	0	0
TCGA-EW-A1P5	0	0	0	0	0
TCGA-EW-A1P6	0	0	0	1	0
TCGA-EW-A1P8	0	0	0	0	0
TCGA-EW-A1PA	0	0	1	0	0
TCGA-EW-A1PD	0	0	0	0	1
TCGA-EW-A1PG	0	0	0	0	0
TCGA-EW-A1PH	0	0	1	1	0
TCGA-EW-A2FV	0	0	0	1	1
TCGA-EW-A3E8	0	0	0	0	0
TCGA-GM-A2DA	1	0	0	0	1
TCGA-GM-A2DB	0	0	0	0	0
TCGA-GM-A2DC	0	0	1	1	0
TCGA-GM-A2DD	0	0	0	0	0
TCGA-GM-A2DH	0	0	0	0	0
TCGA-GM-A2DK	0	0	0	0	0
TCGA-GM-A2DL	0	0	0	0	0
TCGA-GM-A2DN	0	0	0	0	0
TCGA-GM-A3NW	0	1	0	0	0
TCGA-GM-A3NY	0	0	0	0	0
TCGA-GM-A3XG	0	0	0	0	0
TCGA-GM-A3XN	0	0	0	0	0
TCGA-GM-A4E0	0	0	0	0	0
TCGA-GM-A5PV	0	0	0	0	0
TCGA-GM-A5PX	0	0	0	0	0
TCGA-HN-A2NL	0	0	0	0	0
TCGA-HN-A2OB	0	0	0	0	0
TCGA-LD-A66U	0	0	0	0	0
TCGA-LD-A74U	0	0	0	0	0
TCGA-LD-A7W6	0	0	1	0	0
TCGA-LL-A440	0	0	0	0	0
TCGA-LL-A50Y	0	0	0	0	0
TCGA-LL-A5YL	0	0	0	0	0
TCGA-LL-A6FP	0	0	0	0	0
TCGA-LQ-A4E4	0	0	0	0	0
TCGA-MS-A51U	0	0	0	0	0
TCGA-OL-A5DA	0	0	0	0	0
TCGA-OL-A66J	0	0	0	0	0
TCGA-OL-A66K	0	0	0	0	0
TCGA-OL-A66N	0	0	0	0	0
TCGA-PE-A5DE	0	0	0	0	0
